20191218,17.35,17.38
20191219,17.38,17.46
20191220,17.31,17.37
20191223,17.38,17.17
20191224,17.32,17.63
20191225,17.38,
20191226,17.46,
20191227,17.37,
20191230,17.17,
20191231,17.63,
