20190102,5.55,5.28
20190103,5.25,5.22
20190104,4.88,5.27
20190107,5.06,5.29
20190108,5.12,5.24
20190109,5.28,5.28
20190110,5.22,5.27
20190111,5.27,5.27
20190114,5.29,5.3
20190115,5.24,5.29
20190116,5.28,5.23
20190117,5.27,5.26
20190118,5.27,5.4
20190121,5.3,5.57
20190122,5.29,5.15
20190123,5.23,5.14
20190124,5.26,5.09
20190125,5.4,5.1
20190128,5.57,5.23
20190129,5.15,5.29
20190130,5.14,5.36
20190131,5.09,5.44
20190201,5.1,5.42
20190211,5.23,5.39
20190212,5.29,5.54
20190213,5.36,5.54
20190214,5.44,5.62
20190215,5.42,5.45
20190218,5.39,5.6
20190219,5.54,5.93
20190220,5.54,6.05
20190221,5.62,6.08
20190222,5.45,6.16
20190225,5.6,6.15
20190226,5.93,6.08
20190227,6.05,6.22
20190228,6.08,6.47
20190301,6.16,6.4
20190304,6.15,6.02
20190305,6.08,6.28
20190306,6.22,6.42
20190307,6.47,6.53
20190308,6.4,6.25
20190311,6.02,6.41
20190312,6.28,6.51
20190313,6.42,6.48
20190314,6.53,6.46
20190315,6.25,6.58
20190318,6.41,6.6
20190319,6.51,6.5
20190320,6.48,6.21
20190321,6.46,6.23
20190322,6.58,6.15
20190325,6.6,6.42
20190326,6.5,6.62
20190327,6.21,6.5
20190328,6.23,6.66
20190329,6.15,6.73
20190401,6.42,6.69
20190402,6.62,6.7
20190403,6.5,6.72
20190404,6.66,6.66
20190408,6.73,6.7
20190409,6.69,6.63
20190410,6.7,6.68
20190411,6.72,6.73
20190412,6.66,6.68
20190415,6.7,6.68
20190416,6.63,6.54
20190417,6.68,6.41
20190418,6.73,6.41
20190419,6.68,6.13
20190422,6.68,6.09
20190423,6.54,5.96
20190424,6.41,6.01
20190425,6.41,5.78
20190426,6.13,5.72
20190429,6.09,5.74
20190430,5.96,5.65
20190506,6.01,5.67
20190507,5.78,5.58
20190508,5.72,5.69
20190509,5.74,5.9
20190510,5.65,5.9
20190513,5.67,5.58
20190514,5.58,5.61
20190515,5.69,5.76
20190516,5.9,5.69
20190517,5.9,5.6
20190520,5.58,5.67
20190521,5.61,5.75
