date,open,high,low,close,volume,turnover
20210105,5.08,5.12,4.98,5.02,36005214.0,181549152.0
20210106,5.06,5.08,4.89,4.93,30251660.0,149567824.0
20210107,4.93,4.94,4.55,4.73,52366823.0,245951072.0
20210108,4.7,5.03,4.61,4.81,49958645.0,243793296.0
20210111,4.86,4.93,4.62,4.63,36378852.0,172629104.0
20210112,4.63,4.84,4.61,4.63,39934289.0,186931584.0
20210113,4.62,4.66,4.5,4.57,37123754.0,169073472.0
20210114,4.39,4.51,4.28,4.42,49538693.0,218504576.0
20210115,4.41,4.65,4.4,4.51,38773771.0,176571232.0
20210118,4.55,4.66,4.49,4.51,37186002.0,169150256.0
20210119,4.53,4.8,4.47,4.67,60308475.0,280747936.0
20210120,4.69,4.72,4.59,4.62,26890384.0,124624480.0
20210121,4.63,4.78,4.61,4.62,52116811.0,242909872.0
20210122,4.62,4.63,4.45,4.47,34610313.0,155303168.0
20210125,4.46,4.5,4.33,4.36,29741180.0,130897240.0
20210126,4.36,4.44,4.26,4.28,26812513.0,116280152.0
20210127,4.28,4.65,4.27,4.49,56746006.0,253312992.0
20210128,4.46,4.71,4.45,4.55,61989947.0,284029568.0
20210129,4.65,4.7,4.31,4.38,54279341.0,241514832.0
20210201,4.37,4.48,4.27,4.34,32924273.0,143062064.0
20210202,4.34,4.68,4.32,4.61,63449749.0,289324864.0
20210203,4.56,4.62,4.38,4.4,38855342.0,172819760.0
20210204,4.34,4.4,4.04,4.19,52353046.0,218570672.0
20210205,4.19,4.35,4.11,4.16,27231161.0,113924472.0
20210208,4.13,4.18,4.04,4.07,25410187.0,103997896.0
20210209,4.08,4.15,4.03,4.1,26545181.0,108411760.0
20210210,4.1,4.19,4.05,4.13,25565947.0,105575024.0
20210218,4.21,4.44,4.21,4.35,52320627.0,227044896.0
20210219,4.35,4.6,4.32,4.58,50003901.0,224490864.0
20210222,4.68,4.84,4.63,4.71,64958247.0,308015360.0
20210223,4.68,4.75,4.48,4.5,48711423.0,222356304.0
20210224,4.51,4.67,4.48,4.55,47146958.0,215070304.0
20210225,4.59,4.63,4.42,4.46,39149942.0,175533376.0
20210226,4.43,4.61,4.4,4.51,50121198.0,226935248.0
20210301,4.56,4.64,4.53,4.62,40319557.0,185103728.0
20210302,4.67,4.68,4.48,4.55,38046505.0,172395216.0
20210303,4.59,4.6,4.51,4.57,30902513.0,140628016.0
20210304,4.56,4.65,4.53,4.59,32442506.0,148424960.0
20210305,4.56,4.74,4.54,4.7,47173649.0,220144464.0
20210308,4.76,4.93,4.73,4.79,67285511.0,325333312.0
20210309,4.8,5.04,4.7,4.72,86869182.0,422817024.0
20210310,4.76,4.82,4.5,4.51,48595162.0,225528128.0
20210311,4.54,4.68,4.44,4.66,36866183.0,168745104.0
20210312,4.65,4.66,4.51,4.55,32928776.0,149713920.0
20210315,4.51,4.53,4.42,4.46,28730207.0,128233024.0
20210316,4.57,5.06,4.56,4.87,103354622.0,501976384.0
20210317,4.79,4.96,4.71,4.75,63349495.0,302762656.0
20210318,4.73,4.8,4.63,4.75,43353618.0,203969856.0
20210319,4.7,4.85,4.66,4.69,35935508.0,170023872.0
20210322,4.7,4.74,4.63,4.71,28655322.0,134233360.0
20210323,4.71,4.71,4.54,4.59,33415771.0,153370448.0
