20200601,1363.98,1403.07,1363.98,1402.48,3547976,4986179072
20200602,1398.99,1410.88,1389.64,1393.68,2596010,3679210496
20200603,1397.98,1400.48,1378.75,1382.28,2355736,3308382720
20200604,1378.98,1393.98,1378.98,1390.96,1803741,2534459648
20200605,1388.23,1411.86,1384.05,1407.98,1834706,2597524736
20200608,1407.98,1417.98,1384.99,1389.07,2930045,4145298432
20200609,1390.98,1407.98,1383.66,1399.53,2261191,3199849728
20200610,1407.98,1416.3,1399.98,1406.64,2270074,3234843904
20200611,1393.99,1400.96,1379.96,1383.43,3071171,4314846208
20200612,1370.15,1399.35,1366.29,1399.35,2842742,3992323328
20200615,1384.98,1394.57,1363.98,1365.98,3461541,4819512320
20200616,1381.48,1396.98,1376.11,1386.86,2920664,4099718912
20200617,1394.83,1394.88,1378,1387.98,1945307,2730097152
20200618,1387.88,1396.17,1383.07,1395.98,2101041,2956800000
20200619,1402.98,1428.17,1398.07,1422.81,3895833,5603232768
20200622,1418.07,1426.87,1416.17,1421.98,2324700,3343536640
20200623,1417.98,1464.98,1416.5,1457.48,3393426,4963194880
20200624,1463.6,1465.71,1445,1460.01,2513899,3663537152
20200629,1448,1466,1437.01,1463.17,2808061,4064048128
20200630,1463.12,1468.98,1455.12,1462.88,2244614,3281641216
20200701,1468,1506.1,1464.02,1494.27,3868249,5759640064
20200702,1499,1550.9,1495,1544,4588372,7014289408
20200703,1550,1552.5,1516.88,1541.79,3512581,5395637248
20200706,1538,1616,1531.81,1600,5182196,8228068864
20200707,1603.09,1744.82,1601,1688,6666393,11219852288
20200708,1680,1719,1660,1681.34,5316998,8963188736
20200709,1691,1712,1682,1706,3503324,5951732736
20200710,1689,1736.6,1688.94,1713.85,3710044,6352507392
20200713,1714.68,1787,1714.68,1781.99,6072716,10679459840
20200714,1781.99,1782.03,1748.4,1762,4609351,8135835136
20200715,1744.88,1782.6,1744.71,1752.53,4071294,7176560640
20200716,1729.91,1729.91,1600,1614,10224219,16901372928
20200717,1620,1672.59,1620,1648.05,6590206,10863420416
20200720,1652.5,1663.99,1588.88,1636.96,4528033,7363823104
20200721,1646.64,1702.8,1630.99,1668,4196950,7026353152
20200722,1658,1710,1658,1678.08,3920121,6637265408
20200723,1672,1691,1650,1676,3432052,5739050496
20200724,1654.85,1666,1585,1595.3,7875201,12705941504
20200727,1616.01,1629.8,1600,1622.55,3878817,6279664640
20200728,1630,1680,1630,1670,5491152,9133721600
20200729,1690,1690,1633,1672,5074843,8411789824
20200730,1671.2,1700.59,1670.5,1680,3837304,6486855680
20200731,1685,1705,1646,1678.18,4068474,6846747136
20200803,1686.88,1696.58,1660,1668,3466114,5790041600
20200804,1675,1682.99,1660,1669.99,3194051,5337185792
20200805,1662.09,1673.09,1643.31,1668,2552169,4236612352
20200806,1670,1674.03,1630,1637.96,3264878,5372942848
20200807,1644.77,1649.67,1598.5,1631,3424205,5560065536
20200810,1627.97,1644.96,1608.11,1633.99,2362354,3857721088
20200811,1640,1666.43,1640,1642.51,3581818,5936904704
20200812,1633,1641,1605.25,1626.95,2793392,4529267712
20200813,1630,1638.88,1609,1635,2054134,3341652224
20200814,1639.9,1665.7,1631,1661,3765318,6230475264
20200817,1674,1704.35,1670,1690,4357201,7363610624
20200818,1697.38,1720,1691,1705,3042281,5192751616
20200819,1700,1717,1682.99,1687,2691498,4578143744
20200820,1674,1679,1656,1664,2238233,3727183872
20200821,1673,1698,1671,1676,2508241,4217048320
20200824,1700,1708,1691.01,1696.35,3093344,5260286464
20200825,1704.8,1746.78,1698.63,1727,4187249,7227309568
20200826,1734,1745,1715.02,1727,2621573,4530374144
20200827,1731.99,1733.98,1705,1731,2263553,3896759552
20200828,1731,1764,1721.5,1757,4229962,7389242368
20200831,1770.58,1816,1770.58,1786.5,4781036,8608932864
20200901,1792,1802,1775.01,1801.98,3163992,5661594112
20200902,1825,1828,1770,1795,3200929,5746352128
20200903,1795,1812,1779.7,1793,3043735,5471333888
