date,real,predict,deviation
20191024.0,0.023506530080613874,0.033485669642686844,-0.00997913956207297
20191025.0,0.01652755898658831,0.02857472561299801,-0.0120471666264097
20191028.0,0.015875197580922373,0.03267534449696541,-0.016800146916043035
20191029.0,0.007672765094034029,0.033133916556835175,-0.025461151462801146
20191030.0,-0.0025445724270132253,0.02344384603202343,-0.025988418459036655
20191031.0,0.017500300692451676,0.036490026861429214,-0.01898972616897754
20191101.0,0.012787941823390048,0.03762919083237648,-0.024841249008986432
20191104.0,-0.000422840132602631,0.020845934748649597,-0.021268774881252228
20191105.0,0.0038898964389226798,0.029964610934257507,-0.026074714495334828
20191106.0,0.023306683397061434,0.05656803399324417,-0.03326135059618274
20191107.0,0.021044125321975082,0.04367905110120773,-0.02263492577923265
20191108.0,0.01975550452519248,0.04633128270506859,-0.02657577817987611
20191111.0,0.01961279886771461,0.0389041043817997,-0.01929130551408509
20191112.0,0.02126926502966442,0.05124368891119957,-0.02997442388153515
20191113.0,0.005578604605034787,0.028615331277251244,-0.023036726672216457
20191114.0,0.0010717406717339895,0.02242521196603775,-0.02135347129430376
20191115.0,-0.025759456998592722,-0.025161366909742355,-0.0005980900888503671
20191118.0,-0.037936216948256773,-0.03945721685886383,0.001520999910607057
20191119.0,-0.03709871556002575,-0.04361551254987717,0.006516796989851414
20191120.0,-0.033822632992306256,-0.030595475807785988,-0.0032271571845202685
20191121.0,-0.03913829416739911,-0.03634370490908623,-0.002794589258312885
20191122.0,-0.05042569362014637,-0.032864395529031754,-0.01756129809111462
20191125.0,-0.0458936785048647,-0.03806212544441223,-0.007831553060452467
20191126.0,-0.06361734338056435,-0.044140011072158813,-0.019477332308405537
20191127.0,-0.06166697794454734,-0.028801606968045235,-0.032865370976502106
20191128.0,-0.03108456394538872,0.0005772707518190145,-0.031661834697207736
20191129.0,0.04704995595593764,0.048709794878959656,-0.0016598389230220167
20191202.0,0.023020125808706382,0.03579375520348549,-0.012773629394779107
20191203.0,0.021727902545014333,0.036416392773389816,-0.014688490228375484
20191204.0,0.03065939818408281,0.030789658427238464,-0.00013026024315565543
20191205.0,0.0009294510876365347,-0.008445251733064651,0.009374702820701186
20191206.0,-0.010362873279331275,-0.022367961704730988,0.012005088425399713
20191209.0,-0.010213816221325445,-0.018549369648098946,0.008335553426773501
20191210.0,0.0017115849102504743,0.003971595782786608,-0.0022600108725361334
20191211.0,0.010535742506453172,0.02789483405649662,-0.01735909155004345
20191212.0,0.010097610232245202,0.017007198184728622,-0.00690958795248342
20191213.0,-0.01457268015148605,-0.009392163716256618,-0.005180516435229432
20191216.0,-0.0003443191750466257,-0.019763194024562836,0.01941887484951621
20191217.0,-0.022472298570416105,-0.027506370097398758,0.005034071526982653
20191218.0,-0.02557636258922491,-0.043220531195402145,0.017644168606177235
20191219.0,-0.023656082992769667,-0.04294687882065773,0.019290795827888063
20191220.0,0.021390755628442504,0.021042751148343086,0.00034800448009941753
20191223.0,0.028873747777249603,0.03987392038106918,-0.01100017260381958
20191224.0,0.03552460967335125,0.047849830240011215,-0.012325220566659967
20191225.0,0.0,0.0,0.0
20191226.0,0.0,0.0,0.0
20191227.0,0.0,0.0,0.0
20191230.0,0.0,0.0,0.0
20191231.0,0.0,0.0,0.0
