20190102,578.42,580.44,563.45,567.42,6228649,3754387968
20190103,568.41,570.1,554.24,558.44,3097735,1838179200
20190104,555.72,576.11,550.46,570.44,3768347,2258501376
20190107,576.44,580.44,570.66,573.93,3475013,2105981440
20190108,573.94,580.44,568.72,573.23,2883813,1750413184
20190109,578.43,594.6,577.48,584.56,4989227,3084214784
20190110,585.57,593.32,578.69,587.21,2904390,1797683072
20190111,593.44,605.44,587.19,604.32,3888421,2445929472
20190114,601.44,604.33,589.99,593.04,2564890,1606308096
20190115,596.3,629.94,593.44,628.42,5576485,3613918976
20190116,626.44,634.09,622.04,629.54,4208364,2775104000
20190117,631.44,638.14,624.24,627.69,3028476,2004454144
20190118,633.44,658.64,629.94,652.05,6860918,4647515648
20190121,658.44,667.32,650.32,655.42,4705193,3242615808
20190122,654.44,654.44,633.66,639.44,4212221,2834735104
20190123,635.66,642.94,631.57,634.1,3362481,2247371264
20190124,638.74,646.27,633.12,640.94,2915527,1960227072
20190125,644.32,653.34,638.37,648.14,2898635,1966232064
20190128,652.44,662.42,644.47,645.44,3610287,2476278016
20190129,645.94,656.44,636.44,653.44,3034259,2069407488
20190130,653.43,654.66,644.44,644.44,2269996,1545353600
20190131,648.44,658.04,646,658.04,3669657,2515374848
20190201,665.48,667.44,658.05,661.11,3052062,2121326080
20190211,663.44,697.94,656.62,693.74,5814075,4143849728
20190212,691.44,693.93,683.64,686.36,3509143,2521840128
20190213,691.44,704.6,685.66,703.69,3567706,2589623552
20190214,699.64,712.1,698.58,705.6,3225813,2375987200
20190215,703.32,703.32,691.46,693.22,2323798,1691515520
20190218,699.44,713.39,699.44,708.44,3774589,2787523072
20190219,709.4,710.94,695.1,699.2,2950150,2164408832
20190220,703.44,703.44,684.5,690.44,3788237,2742919680
20190221,688.44,698.92,685.44,688.69,2985040,2163554304
20190222,685.44,696.93,682.54,694.45,2590877,1867253888
20190225,699.19,712.88,686.43,710.77,8262259,6034261504
20190226,716.24,717.62,694.44,695.79,5796466,4265279232
20190227,701.44,726.46,699.44,709.14,6594227,4908445184
20190228,706.34,731.86,705.39,723.45,5698625,4289145344
