date,open,high,low,close,volume,turnover
20210105,29.88,30.17,29.2,29.6,1937076.0,57398116.0
20210106,29.51,30.18,29.18,29.52,1802468.0,53402080.0
20210107,29.41,29.5,27.55,27.79,3136595.0,88749496.0
20210108,27.56,28.6,27.03,27.92,1755073.0,49115312.0
20210111,28.35,29.48,28.33,28.6,2041994.0,58927408.0
20210112,28.6,28.85,27.96,28.31,1252773.0,35440144.0
20210113,28.25,28.5,27.2,27.95,1481561.0,41173728.0
20210114,27.8,29.44,27.7,28.85,1652613.0,47333136.0
20210115,29.4,29.4,28.51,28.8,1129632.0,32618872.0
20210118,28.95,29.44,28.7,28.73,1183220.0,34328936.0
20210119,28.72,29.32,28.72,29.22,1193180.0,34741412.0
20210120,29.38,29.43,28.76,28.95,996236.0,28999608.0
20210121,28.85,29.36,28.7,28.98,963134.0,27961632.0
20210122,28.92,29.09,27.81,27.95,1619783.0,45826172.0
20210125,27.8,29.7,27.7,29.31,2330740.0,67831720.0
20210126,29.15,29.65,29.0,29.49,1293452.0,37952460.0
20210127,29.51,30.66,29.33,30.16,1610759.0,48544988.0
20210128,30.0,30.49,29.7,30.13,1149706.0,34532100.0
20210129,30.36,30.49,29.25,29.7,1216139.0,36300828.0
20210201,29.51,30.3,28.88,29.15,1254827.0,36818908.0
20210202,29.3,30.56,29.14,29.9,1431895.0,42890036.0
20210203,29.8,30.9,29.54,30.45,1777269.0,53837264.0
20210204,30.41,32.46,29.89,32.03,3656169.0,114205176.0
20210205,31.9,31.9,30.25,30.25,2799096.0,87312280.0
20210208,29.99,31.18,29.37,30.98,1716392.0,52300164.0
20210209,30.72,31.44,30.2,30.74,1711108.0,52504532.0
20210210,31.03,32.19,30.71,31.61,1842685.0,58172808.0
20210218,32.36,33.32,31.61,31.86,2062634.0,66753504.0
20210219,31.71,33.15,31.6,33.07,2234764.0,72855048.0
20210222,33.1,34.03,32.58,32.64,2795100.0,93310616.0
20210223,33.11,34.11,32.73,33.48,2740533.0,91531472.0
20210224,33.4,34.14,32.68,33.12,2079033.0,69518024.0
20210225,32.95,34.15,32.68,33.77,2608823.0,87759840.0
20210226,33.45,36.19,33.35,34.88,5913980.0,207224784.0
20210301,34.99,36.5,34.39,35.45,5261243.0,187465968.0
20210302,36.3,36.95,34.95,35.08,4374416.0,156948528.0
20210303,34.75,35.4,34.1,34.55,3369308.0,116559232.0
20210304,34.34,35.4,34.0,34.7,3450853.0,119856200.0
20210305,34.42,34.7,32.55,32.74,4083581.0,135341632.0
20210308,32.78,33.35,32.02,32.05,2826753.0,92797672.0
20210309,32.12,32.38,30.05,30.25,3171071.0,98230064.0
20210310,30.88,32.12,30.8,31.54,3845865.0,121055016.0
20210311,32.09,33.19,31.95,32.41,3624114.0,117949136.0
20210312,32.3,32.65,31.5,32.07,2918978.0,93524184.0
20210315,32.1,32.46,31.0,31.48,2755797.0,87111832.0
20210316,31.54,32.05,31.2,31.48,1618875.0,51124908.0
20210317,31.02,31.32,30.65,31.05,1807623.0,56061032.0
20210318,31.01,31.39,30.4,30.65,2064419.0,63523476.0
20210319,30.99,31.24,30.5,30.79,1841316.0,56824232.0
20210322,30.8,31.33,30.7,31.0,1720720.0,53354380.0
20210323,31.45,32.1,31.06,31.45,2312677.0,73049400.0
20210324,31.45,31.45,29.7,29.75,2671275.0,81053048.0
20210325,29.69,29.97,29.11,29.2,1665272.0,49031224.0
20210326,29.01,29.74,29.01,29.68,1138293.0,33524812.0
20210329,29.5,30.3,29.5,29.68,1364288.0,40717428.0
20210330,29.69,29.85,29.16,29.21,1120576.0,32945672.0
20210331,29.52,29.52,28.72,29.09,1148412.0,33247660.0
20210401,29.14,30.2,28.9,29.6,1619340.0,48103676.0
20210402,29.88,30.8,29.47,30.34,2004532.0,60848392.0
20210406,30.39,31.42,30.39,31.33,1976711.0,61356992.0
20210407,31.05,31.91,31.05,31.78,1814874.0,57254888.0
20210408,31.61,32.15,31.35,31.91,1950283.0,62067196.0
20210409,31.77,32.05,31.38,31.61,1375883.0,43510272.0
20210412,31.6,31.67,30.31,30.65,1896324.0,58577108.0
20210413,31.13,31.13,30.11,30.26,1347103.0,41026844.0
20210414,30.08,30.64,29.93,30.37,935074.0,28361356.0
20210415,30.02,30.82,30.02,30.27,980021.0,29744232.0
20210416,30.54,32.21,30.27,31.99,2509137.0,78925584.0
20210419,32.34,33.08,32.22,32.74,2492219.0,81425120.0
20210420,32.6,33.3,32.48,32.78,1814584.0,59731144.0
20210421,32.35,32.95,32.11,32.39,1430948.0,46655124.0
20210422,32.7,32.7,32.13,32.46,1321078.0,42802688.0
20210423,32.56,33.19,32.09,32.77,1950557.0,63677416.0
20210426,33.01,33.3,32.49,32.56,1627114.0,53466376.0
20210427,32.3,32.38,31.61,31.97,1359647.0,43465364.0
20210428,31.7,33.13,31.63,32.9,1529366.0,50002728.0
20210429,32.9,33.06,32.15,32.18,1185880.0,38587100.0
20210430,30.11,30.5,27.52,28.18,7636895.0,217643008.0
20210506,28.08,29.65,28.01,28.97,2846833.0,82490240.0
20210507,28.97,29.34,28.36,28.52,1668435.0,48037248.0
20210510,28.7,28.85,27.68,28.12,1607473.0,45040484.0
20210511,28.03,28.51,27.73,28.07,743740.0,20820808.0
20210512,27.96,27.96,26.96,27.36,1724702.0,47034068.0
20210513,27.27,27.52,27.09,27.15,866601.0,23643772.0
20210514,27.0,27.45,27.0,27.33,1181991.0,32141774.0
20210517,27.27,27.86,27.27,27.37,1116044.0,30696408.0
20210518,27.38,27.38,26.85,27.1,1206551.0,32619072.0
20210519,27.03,27.78,26.88,27.5,1017230.0,27860076.0
20210520,27.62,27.68,27.26,27.64,808495.0,22197210.0
20210521,27.7,28.15,27.55,27.77,1080832.0,30151160.0
20210524,27.99,28.45,27.51,27.86,853010.0,23754688.0
20210525,27.8,28.2,27.59,27.97,1147849.0,32115680.0
20210526,28.05,28.54,28.05,28.45,869180.0,24676296.0
20210527,28.59,29.79,28.45,29.66,1811450.0,53248488.0
20210528,29.66,29.66,28.68,28.71,1288529.0,37354636.0
20210531,28.7,30.31,28.62,30.19,1834148.0,54447232.0
20210601,30.18,30.65,29.87,30.42,1151318.0,34875296.0
20210602,30.47,30.87,29.7,29.9,2060879.0,62400928.0
20210603,29.78,30.4,29.33,29.89,1234069.0,37092072.0
20210604,29.65,30.36,29.5,29.58,1201043.0,35972672.0
20210607,29.72,30.55,29.72,29.93,1126065.0,33871236.0
20210608,29.92,30.09,29.12,29.47,1203057.0,35593824.0
20210609,29.6,29.6,28.9,29.0,799301.0,23351024.0
20210610,29.25,29.64,28.91,29.42,1119471.0,32736348.0
20210611,29.5,30.5,29.43,29.44,1604062.0,48192688.0
20210615,29.44,30.25,29.11,29.85,1079502.0,32149168.0
20210616,29.85,30.65,29.63,29.8,1411221.0,42512376.0
20210617,29.86,31.28,29.7,31.27,2428495.0,74776008.0
20210618,31.22,31.5,30.75,31.08,1369919.0,42512448.0
20210621,30.91,34.17,30.81,33.72,4481926.0,147597344.0
20210622,33.88,34.1,33.12,33.25,2189054.0,73303912.0
20210623,33.65,35.28,32.92,34.31,4000869.0,136447520.0
