date,open,high,low,close,volume,turnover
20210105,6.06,6.15,5.97,6.05,4931400.0,29820984.0
20210106,6.06,6.09,5.8,5.81,6096491.0,35852608.0
20210107,5.8,5.95,5.68,5.85,7563161.0,43886664.0
20210108,5.79,5.99,5.66,5.81,4674019.0,27304704.0
20210111,5.81,5.81,5.48,5.55,7276800.0,40535696.0
20210112,5.62,5.85,5.58,5.75,4908104.0,28060294.0
20210113,5.78,6.24,5.67,6.06,11056351.0,66028412.0
20210114,6.06,6.11,5.91,5.94,6386000.0,38184012.0
20210115,5.95,6.04,5.91,5.99,3992540.0,23781574.0
20210118,6.14,6.14,5.97,6.02,3909689.0,23522470.0
20210119,6.06,6.25,5.92,6.12,6375599.0,38755480.0
20210120,6.07,6.31,6.05,6.14,4592799.0,28403314.0
20210121,6.15,6.23,6.05,6.07,6109500.0,37336832.0
20210122,6.1,6.1,5.83,5.85,5460467.0,32213484.0
20210125,5.92,5.98,5.8,5.8,4778700.0,28067196.0
20210126,5.79,5.86,5.67,5.68,2893904.0,16609934.0
20210127,5.7,5.78,5.64,5.73,3769900.0,21511452.0
20210128,5.9,6.4,5.9,5.91,15570231.0,94799024.0
20210129,5.8,5.93,5.53,5.64,11077700.0,62989220.0
20210201,5.53,5.64,5.46,5.51,6046627.0,33368666.0
20210202,5.49,5.5,5.34,5.46,4426900.0,23964604.0
20210203,5.48,5.74,5.37,5.6,8215282.0,45845272.0
20210204,5.59,5.59,5.35,5.37,5521338.0,30047434.0
20210205,5.02,5.38,5.02,5.1,7414078.0,38134984.0
20210208,5.07,5.17,5.07,5.1,3394404.0,17356160.0
20210209,5.1,5.15,5.02,5.13,4758705.0,24149020.0
20210210,5.13,5.16,5.06,5.13,3399505.0,17349576.0
20210218,5.19,5.56,5.16,5.55,6462436.0,34555232.0
20210219,5.49,5.92,5.38,5.77,9799152.0,55298560.0
20210222,5.79,5.99,5.75,5.81,8150732.0,47841116.0
20210223,5.75,5.93,5.7,5.8,5740900.0,33379468.0
20210224,5.8,5.88,5.75,5.86,6065336.0,35367920.0
20210225,5.9,5.91,5.65,5.74,5662800.0,32504416.0
20210226,5.65,6.0,5.64,5.83,8128898.0,47729752.0
20210301,5.85,6.03,5.8,5.96,5899300.0,35080280.0
20210302,6.1,6.1,5.92,5.99,6276732.0,37707804.0
20210303,5.97,6.05,5.9,6.01,6384286.0,38047828.0
20210304,6.0,6.1,5.93,5.95,4509546.0,27126486.0
20210305,5.95,6.26,5.93,6.21,8229100.0,50304300.0
20210308,6.67,7.45,6.67,7.45,15165643.0,111829288.0
20210309,7.75,8.28,6.96,7.1,52482787.0,403389184.0
20210310,6.7,7.0,6.45,6.47,30264300.0,201445664.0
20210311,6.49,7.1,6.28,6.78,29469832.0,197816736.0
20210312,6.8,7.1,6.57,6.89,24121058.0,164618880.0
20210315,6.72,6.89,6.61,6.76,16861400.0,113403664.0
20210316,6.75,7.45,6.62,7.4,31445868.0,223066496.0
20210317,7.28,7.3,6.95,7.08,23537458.0,166991376.0
20210318,6.99,7.59,6.82,7.26,25074184.0,179588704.0
20210319,7.12,7.22,6.92,6.95,19278734.0,135787952.0
20210322,6.9,7.04,6.85,6.99,13694800.0,95255248.0
20210323,6.94,6.94,6.44,6.46,17718900.0,117504136.0
20210324,6.41,6.72,6.4,6.51,8963119.0,58469564.0
20210325,6.4,6.65,6.35,6.41,7892643.0,51099380.0
20210326,6.45,6.73,6.35,6.61,11191400.0,73448888.0
20210329,6.61,6.64,6.43,6.49,7912800.0,51609520.0
20210330,6.48,6.62,6.41,6.48,8128887.0,52953088.0
20210331,6.52,6.67,6.4,6.6,10960487.0,72189304.0
20210401,6.67,6.69,6.44,6.46,8240300.0,53506264.0
20210402,6.39,6.39,6.11,6.15,13438350.0,83170832.0
20210406,6.16,6.32,6.09,6.24,5700200.0,35449688.0
20210407,6.18,6.3,6.16,6.26,5287189.0,32980868.0
20210408,6.25,6.42,6.16,6.4,8673700.0,54447504.0
20210409,6.4,6.51,6.35,6.47,7700825.0,49562564.0
20210412,6.48,6.99,6.35,6.92,24803600.0,167260672.0
20210413,6.81,6.88,6.68,6.84,13888252.0,94154960.0
20210414,6.83,7.25,6.69,6.91,20673860.0,143859744.0
20210415,6.54,6.64,6.17,6.33,18939636.0,121038816.0
20210416,6.31,6.66,6.31,6.52,10659160.0,68928920.0
20210419,6.55,6.66,6.53,6.57,7259304.0,47727396.0
20210420,6.55,6.65,6.43,6.47,7120800.0,46509812.0
20210421,6.48,6.5,6.26,6.31,6451500.0,40875300.0
20210422,6.3,6.46,6.28,6.36,5378201.0,34284144.0
20210423,6.39,6.4,6.24,6.27,4848488.0,30515644.0
20210426,6.24,6.32,6.14,6.27,3688690.0,23049346.0
20210427,6.28,6.28,6.06,6.12,5395500.0,32974984.0
20210428,6.12,6.16,6.07,6.12,3510596.0,21505194.0
20210429,6.07,6.07,5.7,5.82,10794346.0,63007256.0
20210430,5.75,5.85,5.66,5.84,5080012.0,29286676.0
20210506,5.83,6.07,5.83,6.02,5777996.0,34589192.0
20210507,6.03,6.03,5.9,5.94,3126300.0,18595100.0
20210510,5.9,5.95,5.77,5.93,3319900.0,19476800.0
20210511,5.9,6.01,5.85,5.97,2975596.0,17754652.0
20210512,5.97,5.97,5.74,5.8,5910900.0,34353624.0
20210513,5.78,5.87,5.75,5.82,4748900.0,27574182.0
20210514,5.85,5.95,5.77,5.93,5210030.0,30605886.0
20210517,5.9,5.91,5.72,5.78,5569400.0,32131440.0
20210518,5.78,6.12,5.75,6.0,7123700.0,42747876.0
20210519,6.06,6.07,5.85,5.98,7830634.0,46652348.0
20210520,6.14,6.28,5.81,5.86,10129400.0,60841836.0
20210521,5.7,5.84,5.63,5.72,5194300.0,29873792.0
20210524,5.72,5.85,5.72,5.85,4142072.0,24016074.0
20210525,5.9,5.9,5.75,5.78,4470500.0,25808514.0
20210526,5.79,5.84,5.77,5.79,4045400.0,23423620.0
20210527,5.79,5.79,5.72,5.74,4462275.0,25671438.0
20210528,5.75,5.77,5.56,5.58,5950100.0,33514992.0
20210531,5.58,5.66,5.55,5.66,4183600.0,23491314.0
20210601,5.66,5.68,5.6,5.67,3060100.0,17285544.0
20210602,5.66,5.78,5.64,5.75,5108255.0,29209598.0
20210603,5.75,5.78,5.71,5.72,3075342.0,17691764.0
20210604,5.69,5.71,5.56,5.59,4330500.0,24285488.0
20210607,5.6,5.64,5.55,5.57,2876700.0,16030404.0
20210608,5.57,5.57,5.42,5.45,4925600.0,26904964.0
20210609,5.45,5.54,5.44,5.5,3776736.0,20741252.0
20210610,5.47,5.5,5.43,5.46,3362895.0,18336684.0
20210611,5.45,5.89,5.43,5.69,10104200.0,57389648.0
20210615,5.7,5.84,5.6,5.78,6869067.0,39403372.0
20210616,5.78,5.84,5.68,5.77,5549236.0,31987942.0
20210617,5.77,5.81,5.57,5.65,4783600.0,27075988.0
20210618,5.67,5.73,5.55,5.66,3415602.0,19271556.0
20210621,5.62,5.71,5.6,5.7,3611277.0,20479718.0
20210622,5.69,5.91,5.69,5.82,6550859.0,38129184.0
20210623,6.19,6.65,5.98,6.01,19026866.0,119228360.0
