date,open,high,low,close,volume,turnover
20210105,6.5,6.62,6.39,6.51,8224689.0,53374984.0
20210106,6.5,6.52,6.31,6.39,8329916.0,53128348.0
20210107,6.34,6.42,6.08,6.1,14341685.0,88807200.0
20210108,6.03,6.5,6.03,6.19,16070301.0,100662720.0
20210111,6.15,6.38,6.04,6.14,14568537.0,89726576.0
20210112,6.05,6.18,5.85,5.96,12757850.0,76106864.0
20210113,6.05,6.09,5.8,5.96,13027247.0,77301704.0
20210114,6.2,6.2,5.93,6.03,8950336.0,53627324.0
20210115,6.0,6.04,5.89,6.03,6073050.0,36258764.0
20210118,6.01,6.23,5.98,6.04,7214121.0,43934748.0
20210119,6.05,6.5,6.03,6.16,18156551.0,113239688.0
20210120,6.06,6.38,6.06,6.2,13628202.0,84598896.0
20210121,6.22,6.52,6.14,6.36,22848465.0,145948576.0
20210122,6.41,6.6,6.24,6.48,18489854.0,118980416.0
20210128,7.58,7.58,6.78,7.14,36053807.0,257134928.0
20210129,7.2,7.2,6.61,7.0,23399137.0,162192048.0
20210201,7.0,7.15,6.8,6.99,14147314.0,98419456.0
20210202,7.0,7.11,6.76,6.8,8462213.0,58593372.0
20210203,6.82,7.05,6.78,6.89,9605666.0,66293496.0
20210204,6.94,6.94,6.55,6.61,9812314.0,65822764.0
20210205,6.6,6.72,6.4,6.44,6263297.0,40886564.0
20210208,6.55,6.59,6.27,6.28,6757311.0,43385812.0
20210209,6.36,6.54,5.96,6.45,16679039.0,104368680.0
20210210,6.4,6.54,6.32,6.46,8378150.0,53752836.0
20210218,6.5,6.97,6.41,6.9,13412899.0,90637328.0
20210219,6.94,7.11,6.75,6.88,10241600.0,70544872.0
20210222,6.9,7.03,6.71,6.79,10170299.0,69991112.0
20210223,6.86,6.97,6.62,6.93,8673183.0,59028648.0
20210224,6.94,7.02,6.77,6.95,9446350.0,64950480.0
20210225,6.99,7.07,6.85,6.95,8751650.0,60959760.0
20210226,6.95,7.05,6.81,7.02,6120271.0,42582680.0
20210301,7.05,7.32,7.04,7.17,15401788.0,111115456.0
20210302,7.2,7.23,6.95,7.07,12737500.0,90039576.0
20210303,7.0,7.08,6.92,7.08,16290300.0,114153696.0
20210304,7.08,7.14,6.99,7.05,8391048.0,59168368.0
20210305,7.05,7.06,6.9,7.05,6919900.0,48250788.0
20210308,7.07,7.14,6.95,7.0,9424000.0,66369960.0
20210309,7.0,7.06,6.67,6.85,12553447.0,86244664.0
20210310,6.85,6.88,6.7,6.85,9440310.0,63931016.0
20210311,6.89,6.9,6.68,6.72,11100550.0,75014136.0
20210312,6.71,6.85,6.6,6.82,9638400.0,64592784.0
20210315,6.81,6.9,6.69,6.72,5408300.0,36550512.0
20210316,6.72,6.92,6.6,6.87,11114964.0,75599664.0
20210317,6.87,6.91,6.79,6.79,5251150.0,35864160.0
20210318,6.82,6.84,6.73,6.73,3592424.0,24346534.0
20210319,6.7,6.85,6.7,6.77,5635600.0,38208620.0
20210322,6.77,6.87,6.71,6.83,5957858.0,40459456.0
20210323,6.83,6.87,6.69,6.83,7305900.0,49432696.0
20210324,6.89,6.89,6.72,6.73,3168150.0,21392962.0
20210325,6.8,7.15,6.8,6.95,14843538.0,103217096.0
20210326,6.94,7.04,6.8,6.95,11260150.0,77806000.0
20210329,6.83,7.04,6.83,7.0,13047237.0,90521856.0
20210330,6.94,7.18,6.94,7.09,18602584.0,131475160.0
20210331,7.08,7.18,7.03,7.16,12147890.0,86473496.0
20210401,7.15,7.15,6.92,7.12,16381900.0,114836472.0
20210402,7.09,7.15,6.97,7.07,9315438.0,65619184.0
20210406,7.01,7.13,7.0,7.08,5431781.0,38462488.0
20210407,7.13,7.29,7.05,7.08,16410300.0,117364616.0
20210408,7.08,7.21,7.01,7.15,13267779.0,94522024.0
20210409,7.13,7.36,7.12,7.27,21842214.0,158567200.0
20210412,7.31,7.78,7.31,7.53,27442550.0,207718592.0
20210413,7.58,7.72,7.38,7.6,17085450.0,128456232.0
20210414,7.72,7.72,7.35,7.51,14856400.0,111471112.0
20210415,7.4,7.63,7.37,7.48,10531850.0,78785168.0
20210416,7.45,7.85,7.44,7.68,14815550.0,113620088.0
20210419,7.68,7.92,7.62,7.79,21778349.0,170363264.0
20210420,7.78,7.96,7.66,7.86,15442654.0,121589144.0
20210421,7.8,7.89,7.51,7.66,24675252.0,188483392.0
