date,open,high,low,close,volume,turnover
20210105,1.18,1.18,1.16,1.17,291692602.0,340952512.0
20210106,1.17,1.17,1.16,1.17,101512692.0,118190968.0
20210107,1.17,1.19,1.16,1.17,479867739.0,564671040.0
20210108,1.17,1.18,1.15,1.17,286723460.0,333693952.0
20210111,1.17,1.18,1.15,1.16,378516407.0,439896416.0
20210112,1.15,1.16,1.14,1.15,318701702.0,366153408.0
20210113,1.15,1.16,1.14,1.14,280122725.0,321505632.0
20210114,1.14,1.16,1.14,1.15,260959561.0,299867968.0
20210115,1.15,1.16,1.14,1.15,163477856.0,187864640.0
20210118,1.16,1.19,1.15,1.16,416192484.0,486489760.0
20210119,1.16,1.17,1.15,1.16,271810498.0,314497344.0
20210120,1.16,1.21,1.15,1.2,759675282.0,894104448.0
20210121,1.19,1.28,1.18,1.24,1528978466.0,1890069376.0
20210122,1.22,1.22,1.18,1.18,897569274.0,1074022784.0
20210125,1.18,1.2,1.17,1.17,470233287.0,555179968.0
20210126,1.16,1.19,1.16,1.18,465462407.0,545048320.0
20210127,1.17,1.18,1.16,1.17,268365533.0,312540928.0
20210128,1.16,1.17,1.15,1.15,277397653.0,320678144.0
20210129,1.16,1.16,1.14,1.15,303120283.0,348479424.0
20210201,1.15,1.15,1.13,1.13,348336562.0,397090944.0
20210202,1.13,1.15,1.13,1.14,327764506.0,372979872.0
20210203,1.14,1.25,1.13,1.2,1504390054.0,1790709376.0
20210204,1.18,1.19,1.14,1.17,794297948.0,921289920.0
20210205,1.16,1.17,1.13,1.13,549188808.0,628358528.0
20210208,1.13,1.15,1.12,1.14,413022051.0,468348416.0
20210209,1.13,1.15,1.12,1.14,332180060.0,377980960.0
20210210,1.13,1.17,1.13,1.15,447320230.0,514214784.0
20210218,1.17,1.22,1.16,1.2,856802991.0,1016264000.0
20210219,1.19,1.22,1.17,1.2,618783131.0,737788992.0
20210222,1.22,1.32,1.21,1.32,1773770279.0,2298251008.0
20210223,1.35,1.45,1.3,1.45,2267554513.0,3110289920.0
20210224,1.44,1.51,1.38,1.41,1939822712.0,2785663744.0
20210225,1.47,1.55,1.43,1.5,2549156497.0,3869756160.0
20210226,1.4,1.62,1.36,1.54,2144842809.0,3218527744.0
20210301,1.53,1.69,1.5,1.69,1714629845.0,2757754368.0
20210302,1.8,1.86,1.73,1.76,3113115495.0,5650219520.0
20210303,1.7,1.94,1.69,1.94,2693407338.0,4969306624.0
20210304,1.92,2.13,1.88,2.13,3496153295.0,7152252416.0
20210305,2.15,2.23,2.0,2.08,2898865484.0,6160562688.0
20210308,2.15,2.24,1.87,1.94,3607391028.0,7432450048.0
20210309,1.84,2.02,1.81,1.85,2848038930.0,5437615616.0
20210310,1.87,1.87,1.71,1.79,2441524434.0,4315749888.0
20210311,1.77,1.9,1.74,1.86,2221940988.0,4071574784.0
20210312,1.86,1.91,1.78,1.8,1958473395.0,3577446656.0
20210315,1.77,1.97,1.76,1.91,2658486922.0,5035944448.0
20210316,1.88,1.9,1.8,1.85,1701019706.0,3135267840.0
20210317,1.82,1.84,1.77,1.8,1118424638.0,2011721728.0
20210318,1.8,1.81,1.75,1.76,1149883261.0,2036145280.0
20210319,1.72,1.76,1.68,1.71,1149673900.0,1974537216.0
20210322,1.71,1.74,1.65,1.68,1216347331.0,2055509632.0
20210323,1.67,1.68,1.59,1.6,1247333896.0,2023953280.0
20210324,1.58,1.6,1.53,1.54,1068813665.0,1666476672.0
20210325,1.54,1.65,1.53,1.58,1233258584.0,1961036928.0
20210326,1.56,1.63,1.55,1.61,1138910854.0,1807262976.0
20210329,1.61,1.62,1.57,1.58,778993476.0,1241254912.0
20210330,1.56,1.66,1.52,1.63,1363365236.0,2183784448.0
20210331,1.6,1.6,1.55,1.56,804703107.0,1263101696.0
20210401,1.56,1.59,1.52,1.59,898517974.0,1399148160.0
20210402,1.57,1.57,1.53,1.54,651392720.0,1006007424.0
20210406,1.54,1.58,1.54,1.55,508710319.0,793578240.0
20210407,1.55,1.64,1.54,1.64,1343236865.0,2144783616.0
20210408,1.63,1.7,1.61,1.63,1540589365.0,2542641408.0
20210409,1.64,1.66,1.59,1.61,888530052.0,1438039168.0
20210412,1.6,1.65,1.58,1.64,1000531577.0,1624622976.0
20210413,1.62,1.62,1.56,1.57,785923140.0,1241601664.0
20210414,1.55,1.6,1.55,1.58,552190005.0,870377408.0
20210415,1.58,1.6,1.56,1.58,500349968.0,789115392.0
20210416,1.57,1.59,1.56,1.57,525781647.0,827608192.0
20210419,1.57,1.59,1.55,1.58,604997516.0,952612096.0
20210420,1.57,1.63,1.56,1.61,985325424.0,1576482560.0
20210421,1.59,1.59,1.55,1.56,759349878.0,1191812864.0
20210422,1.56,1.59,1.55,1.57,523650879.0,824760832.0
20210423,1.57,1.58,1.55,1.56,528663424.0,824903360.0
20210426,1.57,1.58,1.55,1.55,418797485.0,655174400.0
20210427,1.55,1.56,1.48,1.49,742519926.0,1122510464.0
20210428,1.49,1.54,1.46,1.52,586811276.0,877217472.0
20210429,1.51,1.51,1.47,1.49,498477367.0,741579520.0
20210430,1.49,1.51,1.46,1.47,494973427.0,734921984.0
20210506,1.48,1.54,1.48,1.53,890172312.0,1349350656.0
20210507,1.53,1.68,1.52,1.68,1351775358.0,2182700288.0
20210510,1.75,1.85,1.73,1.85,2482732549.0,4473797120.0
20210511,1.81,1.83,1.74,1.79,1746158539.0,3126070016.0
20210512,1.77,1.9,1.76,1.85,1421265740.0,2616916736.0
20210513,1.8,1.81,1.69,1.72,1396962505.0,2436934400.0
20210514,1.7,1.73,1.66,1.69,898498695.0,1518878464.0
20210517,1.68,1.71,1.64,1.68,822075527.0,1371986944.0
20210518,1.69,1.72,1.67,1.68,621629386.0,1053030080.0
20210519,1.66,1.67,1.63,1.65,643173611.0,1059380480.0
20210520,1.6,1.6,1.54,1.57,894612645.0,1398648832.0
20210521,1.56,1.66,1.55,1.62,780668805.0,1255905920.0
20210524,1.58,1.63,1.57,1.59,488462560.0,778838976.0
20210525,1.59,1.62,1.57,1.6,490150818.0,783183040.0
20210526,1.59,1.64,1.58,1.62,667372167.0,1074861312.0
20210527,1.61,1.65,1.6,1.61,564876836.0,914517888.0
20210528,1.64,1.65,1.59,1.6,556311761.0,901826880.0
20210531,1.61,1.65,1.6,1.64,597062351.0,972697024.0
20210601,1.62,1.63,1.58,1.62,582612377.0,934231936.0
20210602,1.62,1.63,1.59,1.6,467301384.0,751160960.0
20210603,1.59,1.72,1.59,1.67,1369875868.0,2267961600.0
20210604,1.64,1.64,1.62,1.63,675500409.0,1101179520.0
20210607,1.63,1.65,1.61,1.62,470619554.0,764781760.0
20210608,1.61,1.62,1.59,1.6,449881221.0,722310528.0
20210609,1.61,1.64,1.6,1.62,453848849.0,737781888.0
20210610,1.62,1.63,1.6,1.61,429898529.0,693695296.0
20210611,1.61,1.62,1.59,1.61,479705712.0,770741952.0
20210615,1.6,1.61,1.56,1.57,484429008.0,764554048.0
20210616,1.58,1.6,1.57,1.57,355717801.0,563606848.0
20210617,1.57,1.58,1.55,1.55,345750454.0,539278016.0
20210618,1.54,1.56,1.51,1.55,430610969.0,660578880.0
20210621,1.55,1.59,1.55,1.56,426370131.0,667800448.0
20210622,1.55,1.59,1.54,1.57,454288261.0,709683200.0
20210623,1.56,1.57,1.54,1.56,371941850.0,578461888.0
20210624,1.56,1.57,1.54,1.55,379438292.0,590078208.0
20210625,1.55,1.61,1.54,1.6,834220944.0,1323070336.0
20210628,1.59,1.6,1.56,1.59,585149626.0,921518656.0
20210629,1.58,1.58,1.55,1.55,529116233.0,825372224.0
20210630,1.55,1.57,1.54,1.55,252359913.0,393196544.0
