date,open,high,low,close,volume,turnover
20210105,47.58,48.3,47.02,47.45,208964.0,9915705.0
20210106,47.33,47.79,45.7,46.01,237330.0,11006995.0
20210107,45.8,45.98,42.5,43.49,380024.0,16774126.0
20210108,43.09,44.35,42.14,43.45,347706.0,15102335.0
20210111,43.75,43.78,41.82,41.86,317074.0,13467584.0
20210112,42.28,42.7,41.6,42.0,185984.0,7833021.0
20210113,42.19,42.19,39.55,39.66,603893.0,24146812.0
20210114,39.65,41.81,39.18,41.39,400289.0,16377374.0
20210115,41.05,44.4,41.05,43.89,677451.0,29467824.0
20210118,43.56,43.98,43.2,43.7,328241.0,14308103.0
20210119,43.26,45.49,43.26,45.15,414149.0,18562568.0
20210120,44.99,45.33,43.6,44.09,320505.0,14143067.0
20210121,43.59,44.0,43.11,43.93,246199.0,10757651.0
20210122,44.48,44.48,42.11,42.29,221912.0,9497087.0
20210125,42.01,42.87,40.57,40.83,292531.0,12034191.0
20210126,40.26,42.18,40.22,41.3,204588.0,8487527.0
20210127,41.8,42.48,40.06,40.67,182570.0,7434339.0
20210128,40.7,41.59,40.02,40.6,224117.0,9185186.0
20210129,40.6,41.58,39.72,40.09,220180.0,8825986.0
20210201,40.0,41.2,39.99,41.12,230032.0,9354200.0
20210202,41.17,41.55,40.16,40.45,214471.0,8693264.0
20210203,40.22,40.27,38.8,39.01,268904.0,10620412.0
20210204,38.0,39.14,37.1,38.0,204593.0,7756579.0
20210205,38.41,39.46,37.31,37.74,212035.0,8174916.0
20210208,37.05,37.67,36.0,36.58,276993.0,10168486.0
20210209,36.03,37.75,36.03,36.8,201133.0,7469916.0
20210210,36.39,37.88,36.21,37.1,175268.0,6503059.0
20210218,37.89,38.59,37.47,38.0,257012.0,9795818.0
20210219,38.09,39.66,37.99,39.65,245522.0,9563963.0
20210222,39.69,41.0,39.65,39.93,336749.0,13587526.0
20210223,40.11,40.58,38.96,38.99,254025.0,10008018.0
20210224,38.9,40.25,38.9,39.44,291990.0,11602593.0
20210225,39.44,39.86,38.79,39.01,270992.0,10630043.0
20210226,38.36,40.0,38.36,40.0,272958.0,10817595.0
20210301,40.0,41.55,39.9,41.39,340415.0,13947960.0
20210302,41.36,41.79,40.45,40.83,354714.0,14494939.0
20210303,40.63,41.38,40.38,41.23,221952.0,9099224.0
20210304,40.97,41.76,40.66,41.39,259693.0,10731085.0
20210305,41.33,42.13,40.98,41.83,256722.0,10693034.0
20210308,42.3,44.1,42.29,42.5,546330.0,23586764.0
20210309,42.5,42.56,40.05,40.15,293780.0,12069095.0
20210310,40.18,40.67,39.25,39.48,223495.0,8886355.0
20210311,40.0,40.49,39.42,40.04,130257.0,5209503.0
20210312,40.98,40.98,39.4,40.05,148423.0,5940517.0
20210315,39.66,39.75,37.5,37.77,345602.0,13318437.0
