date,open,high,low,close,volume,turnover
20210105,12.41,12.57,12.33,12.56,1239741.0,15453625.0
20210106,12.57,12.86,12.42,12.68,2085089.0,26380954.0
20210107,12.63,12.65,12.1,12.41,1721791.0,21332504.0
20210108,12.35,12.47,12.2,12.4,1388989.0,17176340.0
20210111,12.38,12.44,12.28,12.43,960642.0,11881177.0
20210112,12.45,12.48,12.26,12.36,1080457.0,13352447.0
20210113,12.33,12.49,12.18,12.42,1443708.0,17798216.0
20210114,12.41,12.63,12.25,12.28,2150315.0,26640248.0
20210115,12.31,12.53,12.26,12.49,1492490.0,18566166.0
20210118,12.42,12.54,12.42,12.48,991457.0,12384903.0
20210119,12.48,12.79,12.42,12.7,1709055.0,21589502.0
20210120,12.68,12.68,12.5,12.58,741596.0,9312299.0
20210121,12.58,12.59,12.42,12.48,886790.0,11055428.0
20210122,12.42,12.47,12.1,12.23,1414400.0,17339204.0
20210125,12.18,12.21,11.98,12.05,1445278.0,17421922.0
20210126,12.1,12.14,12.03,12.06,797800.0,9645599.0
20210127,12.07,12.13,11.82,11.84,2049996.0,24478412.0
20210128,11.82,11.96,11.73,11.94,1300196.0,15435417.0
20210129,11.95,12.0,11.86,11.89,1166400.0,13927351.0
20210201,11.85,12.24,11.6,12.17,2521565.0,29835184.0
20210202,12.06,12.18,11.69,11.7,2679637.0,32001964.0
20210203,11.71,11.77,11.45,11.64,1171000.0,13596690.0
20210204,11.62,11.63,11.08,11.35,2710913.0,30582044.0
20210205,11.33,11.49,11.31,11.34,669202.0,7607693.0
20210208,11.33,11.52,11.3,11.48,659939.0,7542804.0
20210209,11.44,11.52,11.38,11.44,1208322.0,13812806.0
20210210,11.44,11.55,11.41,11.48,915611.0,10522941.0
20210218,11.59,11.65,11.56,11.58,1060364.0,12301427.0
20210219,11.6,11.83,11.58,11.83,1109862.0,13023360.0
20210222,11.83,12.12,11.83,11.98,1276317.0,15328402.0
20210223,11.98,12.04,11.88,11.99,797127.0,9523471.0
20210224,12.0,12.18,11.93,12.14,1054305.0,12738812.0
20210225,12.2,12.57,12.1,12.29,1708641.0,21089894.0
20210226,12.18,12.2,11.92,11.93,1577048.0,18979004.0
20210301,11.94,12.16,11.94,12.14,631800.0,7621308.0
20210302,12.15,12.26,11.99,12.03,786024.0,9488017.0
20210303,12.07,12.2,12.02,12.18,526524.0,6395947.0
20210304,12.16,12.3,12.11,12.13,1142400.0,13941406.0
20210305,12.1,12.22,12.09,12.16,656000.0,7972838.0
20210308,12.31,12.31,12.14,12.17,995396.0,12129233.0
20210309,12.13,12.39,11.91,12.19,1325301.0,16076941.0
20210310,12.19,12.25,12.01,12.06,599824.0,7251815.0
20210311,12.13,12.16,12.06,12.11,753759.0,9123394.0
20210312,12.16,12.42,12.1,12.2,1192763.0,14586352.0
20210315,12.19,12.41,12.18,12.25,1619700.0,19944426.0
20210316,12.31,12.48,12.26,12.43,2184326.0,27019604.0
20210317,12.44,12.51,12.33,12.42,997686.0,12400054.0
20210318,12.41,12.46,12.36,12.38,928675.0,11521541.0
20210319,12.36,12.5,12.22,12.23,1529031.0,18903800.0
20210322,12.23,12.61,12.2,12.46,1917973.0,23947748.0
20210323,12.42,12.6,12.38,12.47,790100.0,9850920.0
20210324,12.47,12.55,12.41,12.46,469282.0,5854051.0
20210325,12.47,12.52,12.3,12.36,1894000.0,23473696.0
20210326,12.39,12.4,12.28,12.3,935900.0,11538192.0
20210329,12.28,12.35,12.01,12.06,1532872.0,18589648.0
20210330,12.09,12.09,11.95,12.0,1362791.0,16370854.0
20210331,12.04,12.15,11.98,12.04,1224500.0,14744436.0
20210401,12.09,12.09,11.99,12.05,900552.0,10832679.0
20210402,12.01,12.09,12.0,12.09,717188.0,8648879.0
20210406,12.1,12.14,12.04,12.07,747528.0,9036523.0
20210407,12.07,12.17,12.07,12.08,1154800.0,13991878.0
20210408,12.09,12.3,12.06,12.24,1863529.0,22733260.0
20210409,12.28,12.35,12.15,12.33,1344554.0,16481566.0
20210412,12.33,12.33,12.12,12.17,776266.0,9492225.0
20210413,12.17,12.37,12.02,12.29,1394743.0,17027148.0
20210414,12.3,12.34,12.25,12.28,1015034.0,12486742.0
20210415,12.26,12.38,12.23,12.3,1070250.0,13169156.0
20210416,12.26,12.53,12.26,12.5,1078734.0,13435333.0
20210419,12.5,12.52,12.32,12.43,713875.0,8877483.0
20210420,12.42,12.5,12.34,12.34,709100.0,8798820.0
20210421,12.34,12.49,12.26,12.36,491320.0,6069300.0
20210422,12.36,12.54,12.33,12.52,1089137.0,13573898.0
20210423,12.52,12.66,12.47,12.63,1494700.0,18782252.0
20210426,12.63,12.75,12.45,12.46,926450.0,11657645.0
20210427,12.4,12.5,12.37,12.4,564597.0,7009165.0
20210428,12.38,12.41,12.27,12.33,542345.0,6684629.0
20210429,12.3,12.79,12.3,12.67,1230767.0,15467566.0
20210430,12.74,13.94,12.67,13.94,12841419.0,173071360.0
20210506,13.52,15.02,13.52,14.89,13058583.0,190210496.0
20210507,14.86,15.58,14.86,15.05,14740418.0,224039584.0
20210510,14.92,15.88,14.81,15.83,13056363.0,203830512.0
20210511,15.84,17.41,15.65,17.41,11147378.0,186515344.0
20210512,17.79,19.15,17.7,19.15,6083876.0,114274264.0
20210513,21.05,21.07,19.32,21.07,18778129.0,382394848.0
20210514,22.01,23.18,21.12,22.89,26536845.0,599010240.0
20210517,20.81,22.5,20.76,21.28,21829162.0,471053600.0
20210518,21.42,23.41,21.42,23.41,20185176.0,461726752.0
20210519,23.28,24.8,22.0,22.6,20770279.0,481416160.0
20210520,22.15,22.95,21.38,22.16,16170174.0,357469024.0
20210521,22.45,24.2,21.6,23.15,16779380.0,382576672.0
20210524,23.26,25.47,23.26,25.47,11329317.0,279952480.0
20210525,26.48,27.49,22.92,23.4,21232287.0,519053312.0
20210526,22.44,22.68,21.43,21.88,14872577.0,325210368.0
20210527,21.8,22.25,21.41,21.8,12505781.0,270814400.0
20210528,21.43,22.34,21.21,21.62,11897108.0,258365072.0
20210531,21.32,22.43,21.32,22.2,11900026.0,260147376.0
20210601,21.91,22.18,21.33,21.65,11222356.0,242553984.0
20210602,21.3,21.99,20.42,20.7,15277143.0,325114688.0
20210603,20.2,20.22,18.75,19.61,15466132.0,301493408.0
20210604,19.16,19.18,18.47,18.52,9090879.0,170309424.0
20210607,18.9,18.92,18.45,18.76,6734856.0,125653696.0
20210608,18.65,19.21,18.41,18.6,10466399.0,196397008.0
20210609,18.44,18.75,18.21,18.47,6914380.0,127777384.0
20210610,18.5,19.45,18.5,18.8,12769204.0,243199312.0
20210611,18.5,19.21,17.52,19.08,13515887.0,247147888.0
20210615,19.06,19.06,17.5,17.57,8785656.0,158396368.0
20210616,17.78,19.33,17.78,19.33,10619980.0,200533472.0
20210617,19.7,19.7,17.82,18.29,14154918.0,261547296.0
20210618,18.23,18.58,17.61,18.11,9124433.0,164180928.0
20210621,17.91,18.9,17.76,18.68,9527347.0,176582736.0
20210622,18.7,18.94,18.12,18.24,5688651.0,104162544.0
20210623,18.27,18.71,18.09,18.3,6002495.0,110424896.0
20210624,18.5,18.5,17.3,17.45,7894359.0,139365744.0
20210625,17.42,18.05,17.42,17.9,5639317.0,100681728.0
20210628,18.05,18.21,17.66,17.8,3800493.0,67848968.0
20210629,17.8,18.44,17.56,17.7,5912049.0,106557648.0
20210630,17.96,18.38,17.67,17.96,4361725.0,78301480.0
