date,open,high,low,close,volume,turnover
20210105,56.0,56.36,51.0,53.09,12276966.0,655869120.0
20210106,52.0,53.88,47.0,49.29,11461867.0,569740288.0
20210107,49.76,51.98,47.53,49.12,13581366.0,677278784.0
20210108,49.0,49.44,44.89,45.43,11907309.0,550075200.0
20210111,46.9,49.44,44.84,45.92,10632108.0,499257504.0
20210112,46.5,49.78,45.36,48.89,10513899.0,502729888.0
20210113,48.91,50.7,47.0,47.48,7682087.0,373975008.0
20210114,46.8,47.32,43.13,44.68,8957836.0,401504512.0
20210115,45.0,50.5,44.51,49.61,9775854.0,463937088.0
20210118,50.0,54.9,50.0,52.34,14377699.0,760533632.0
20210119,58.88,62.81,58.88,62.15,16302704.0,1015316352.0
20210120,63.55,72.0,63.0,68.03,21216141.0,1419958656.0
20210121,68.05,68.5,63.48,65.24,12650015.0,827941824.0
20210122,65.4,72.62,64.0,69.69,10735492.0,727122816.0
20210125,70.37,74.5,67.2,69.75,11254411.0,795500736.0
20210126,70.0,70.3,66.05,67.66,7159661.0,487976384.0
20210127,68.0,73.3,66.8,72.3,8276353.0,577879744.0
20210128,69.83,70.65,66.82,67.0,5797639.0,397500512.0
20210129,67.78,69.8,64.0,65.88,5400524.0,360122176.0
20210201,66.29,73.3,66.0,67.81,8397316.0,586533632.0
20210202,66.0,76.8,65.35,75.5,9745383.0,700827776.0
20210203,75.3,79.8,73.54,73.84,7716007.0,587327296.0
20210204,74.26,75.0,68.38,70.25,6289271.0,447908352.0
20210205,70.3,71.5,64.0,64.61,5877106.0,397206400.0
20210208,65.32,68.99,64.08,66.98,4766780.0,318742624.0
20210209,67.98,71.2,66.8,66.99,5192674.0,356838496.0
20210210,67.42,69.77,62.8,67.92,7882092.0,521363136.0
20210218,70.0,70.99,61.5,64.14,8802465.0,567422848.0
20210219,64.14,65.55,61.8,64.8,5285900.0,337466784.0
20210222,64.2,65.3,62.27,62.7,4478511.0,284855072.0
20210223,61.6,63.83,59.66,60.58,5810248.0,357174560.0
20210224,61.01,61.9,57.88,58.48,4518307.0,267121568.0
20210225,59.1,59.45,57.61,58.58,2532030.0,148509136.0
20210226,56.6,62.0,56.6,60.88,4878350.0,292305536.0
20210301,62.7,62.88,59.7,62.03,4795199.0,294194272.0
20210302,62.2,63.0,58.6,59.2,2995661.0,180472048.0
20210303,59.34,62.5,58.6,61.95,3121150.0,190984768.0
20210304,60.7,61.95,58.28,58.99,3949708.0,233794640.0
20210305,58.55,61.6,58.0,58.1,3499263.0,209518960.0
20210308,57.81,59.2,52.43,53.25,7662758.0,423964960.0
20210309,57.0,59.8,52.0,56.58,10038978.0,564549696.0
20210310,58.95,59.4,55.0,55.5,6208688.0,354179168.0
20210311,56.66,57.95,54.11,57.33,5449839.0,308073792.0
20210312,58.0,60.5,55.38,60.11,7144553.0,412041600.0
20210315,59.35,59.35,56.5,56.9,4949722.0,284888800.0
20210316,57.03,58.15,53.88,55.83,4629211.0,258808752.0
20210317,55.38,57.98,54.34,57.3,4651672.0,264411424.0
20210318,58.0,58.0,55.3,56.38,4486112.0,254109440.0
20210319,55.2,55.89,53.05,53.05,4684200.0,254939648.0
20210322,53.87,56.36,53.67,54.2,3269981.0,179704992.0
20210323,54.25,55.0,51.47,52.51,3931982.0,207076816.0
20210324,51.57,52.84,50.5,52.61,4023051.0,209003360.0
20210325,51.6,55.05,51.12,53.25,5272359.0,279684576.0
20210326,54.05,59.93,53.06,59.15,8023836.0,462429568.0
20210329,58.7,59.1,56.7,57.86,5207125.0,302710304.0
20210330,57.76,58.8,56.31,57.65,4605854.0,263542816.0
20210331,57.84,58.99,57.0,57.13,3378859.0,195428832.0
20210401,57.5,61.38,57.5,57.86,5280404.0,313673856.0
20210402,58.73,60.15,57.9,59.1,4542880.0,268676704.0
20210406,59.3,60.99,56.51,57.0,4486584.0,259765616.0
20210407,56.6,57.9,54.91,55.15,4173403.0,231894288.0
20210408,54.62,55.5,54.1,54.15,2540314.0,138530576.0
20210409,53.95,54.7,52.4,53.76,2896436.0,154723936.0
20210412,53.65,54.35,50.11,50.35,5493294.0,283493888.0
20210413,50.9,52.32,49.7,51.4,3345619.0,171757984.0
20210414,51.8,54.9,51.39,54.3,5065671.0,272738400.0
20210415,54.0,55.54,53.6,54.73,3730839.0,204209744.0
20210416,55.0,57.18,55.0,56.8,4546474.0,256845872.0
20210419,57.85,61.2,55.77,60.49,7158945.0,425072736.0
20210420,60.77,63.85,59.31,61.11,5969815.0,367361376.0
20210421,59.65,61.1,59.1,60.12,4271652.0,256123328.0
20210422,60.01,62.86,60.01,60.45,3888736.0,236753712.0
20210423,60.27,62.4,59.75,61.41,3518503.0,215375952.0
20210426,61.4,65.7,60.99,62.7,6958007.0,442185664.0
20210427,62.42,62.8,59.99,62.33,4353036.0,267020208.0
20210428,64.42,65.79,61.66,65.0,5831844.0,376226144.0
20210429,64.6,66.5,63.36,64.0,2939596.0,189309936.0
20210430,63.97,70.11,63.5,69.36,8012829.0,548644544.0
20210506,69.27,71.33,68.56,69.46,6181366.0,432065952.0
20210507,69.03,69.99,67.6,67.77,3791071.0,258847024.0
20210510,67.77,68.97,65.04,66.15,5108849.0,343052096.0
20210511,64.62,66.68,63.78,64.5,3785164.0,247209760.0
20210512,63.5,67.16,63.5,64.9,2665016.0,175077200.0
20210513,64.5,66.18,63.61,65.2,2646986.0,171735824.0
20210514,65.1,71.76,65.1,71.44,6069776.0,422580960.0
20210517,72.0,75.0,70.57,74.0,6578237.0,480362336.0
20210518,74.5,75.38,72.46,72.94,3296953.0,243120320.0
20210519,72.32,76.68,72.0,76.05,6264920.0,473266400.0
20210520,75.88,79.58,74.7,76.3,6184887.0,475188256.0
20210521,76.58,78.5,75.66,76.3,3815538.0,292949792.0
20210524,76.53,79.48,74.5,78.3,5983348.0,464764320.0
20210525,78.0,79.8,76.8,77.8,3557766.0,277030944.0
20210526,77.8,79.05,75.86,77.41,3690580.0,284737504.0
20210527,77.4,78.91,75.77,76.92,4918104.0,380931008.0
20210528,83.0,92.3,83.0,92.3,8905505.0,814286848.0
20210531,99.0,109.78,98.0,109.78,17087612.0,1781311488.0
20210601,105.0,109.78,104.77,107.56,9419858.0,1009204544.0
20210602,110.0,112.9,103.85,105.99,7380968.0,789856960.0
20210603,106.39,113.5,105.0,109.0,9277724.0,1015245888.0
20210604,109.0,128.17,109.0,120.99,11077614.0,1328109184.0
20210607,120.05,121.1,110.5,114.4,12477603.0,1419486976.0
20210608,116.3,121.0,109.01,113.7,10289544.0,1184428416.0
20210609,114.65,118.02,111.02,112.9,6452372.0,734329280.0
20210610,113.0,118.34,111.0,115.0,9841920.0,1136819840.0
20210611,116.5,117.35,105.18,109.3,10020096.0,1099451008.0
20210615,111.2,114.54,105.65,106.66,8216305.0,898132032.0
20210616,105.54,107.6,94.72,95.0,13992732.0,1387548800.0
20210617,96.1,101.49,96.1,101.29,11317333.0,1128879360.0
20210618,101.43,115.36,101.43,113.0,11211301.0,1230292096.0
20210621,111.0,113.37,106.89,110.53,8826809.0,975876032.0
20210622,112.5,118.6,107.0,117.0,9902029.0,1136865408.0
20210623,115.6,118.5,113.7,117.66,9251228.0,1079129344.0
20210624,116.87,118.5,111.3,114.3,7578025.0,861982336.0
20210625,112.29,119.8,110.47,116.3,7250544.0,831602560.0
20210628,114.5,127.6,114.5,120.6,9207303.0,1117709056.0
20210629,124.0,125.7,119.85,125.7,7292950.0,898074368.0
20210630,125.7,125.86,113.37,121.2,9769033.0,1175972992.0
