date,open,high,low,close,volume,turnover
20210105,7.8,7.88,7.68,7.77,57578742.0,447052128.0
20210106,7.77,7.83,7.43,7.52,54967260.0,414243648.0
20210107,7.7,7.89,7.55,7.55,82901381.0,637899584.0
20210108,7.48,7.6,7.2,7.36,57526129.0,422935936.0
20210111,7.34,7.41,7.04,7.08,56071063.0,402278688.0
20210112,7.08,7.18,6.98,7.15,38463074.0,272072544.0
20210113,7.15,7.36,6.98,7.2,51091141.0,365141472.0
20210114,7.12,7.14,6.96,7.05,34576155.0,244002320.0
20210115,7.03,7.6,7.0,7.38,60768227.0,441541184.0
20210118,7.34,7.67,7.26,7.42,67818109.0,507653856.0
20210119,7.3,7.36,7.13,7.21,46167168.0,333979200.0
20210120,7.23,7.39,7.18,7.27,28056826.0,204511424.0
20210121,7.3,7.81,7.2,7.7,119743701.0,912703552.0
20210122,7.68,7.83,7.61,7.71,102967062.0,795707840.0
20210125,7.7,7.76,7.29,7.49,87275728.0,653586240.0
20210126,7.51,7.52,7.12,7.13,58063074.0,422933184.0
20210127,7.11,7.19,7.07,7.1,34812511.0,247876560.0
20210128,7.08,7.15,6.88,6.94,49897475.0,349559808.0
20210129,6.97,6.99,6.75,6.88,40167957.0,275769696.0
20210201,6.88,7.26,6.88,7.19,43687628.0,312395296.0
20210202,7.48,7.91,7.48,7.91,72229755.0,565508544.0
20210203,8.08,8.1,7.67,7.93,171453705.0,1362114176.0
20210204,7.87,8.24,7.81,8.0,122066352.0,980768192.0
20210205,7.89,8.45,7.85,8.16,126500387.0,1028720832.0
20210208,8.18,8.4,8.08,8.15,95490906.0,784256320.0
20210209,8.07,8.23,8.04,8.09,77532410.0,629826688.0
20210210,8.11,8.26,8.06,8.15,66984370.0,546952064.0
20210218,8.47,8.64,8.35,8.51,85803519.0,728080896.0
20210219,8.52,9.36,8.47,9.36,150393471.0,1373669120.0
20210222,9.53,10.3,9.38,10.29,233111381.0,2355959296.0
20210223,10.29,11.18,10.11,10.8,248451032.0,2669149952.0
20210224,10.82,11.15,10.09,10.27,193932318.0,2032530048.0
20210225,10.41,10.52,9.96,9.99,142342442.0,1452804096.0
20210226,9.79,10.14,9.66,9.68,122786674.0,1212210176.0
20210301,9.71,9.85,9.59,9.75,97105748.0,944694080.0
20210302,9.79,10.23,9.36,9.43,160916666.0,1561117568.0
20210303,9.65,9.69,9.24,9.56,92730561.0,879471552.0
20210304,9.42,9.49,9.12,9.22,87307756.0,808171072.0
20210305,9.22,9.44,9.19,9.22,59097505.0,548882688.0
20210308,9.15,9.33,8.9,8.96,71012827.0,647543616.0
20210309,8.93,9.11,8.59,8.83,66246053.0,590113984.0
20210310,8.93,9.27,8.74,8.92,63003015.0,566084032.0
20210311,8.91,9.15,8.86,9.09,46253752.0,416864480.0
20210312,9.03,9.08,8.81,8.88,42499601.0,377825408.0
20210315,8.84,9.05,8.76,8.93,36216614.0,322841056.0
20210316,8.94,9.17,8.84,9.1,45427375.0,411716640.0
20210317,9.05,9.09,8.84,8.96,35545104.0,317698624.0
20210318,8.95,8.98,8.63,8.71,51995297.0,454775168.0
20210319,8.7,8.78,8.65,8.76,32184300.0,280668288.0
20210322,8.74,8.99,8.71,8.92,31123589.0,276282080.0
20210323,8.93,9.05,8.81,8.98,34862136.0,311317632.0
20210324,8.95,9.48,8.93,9.28,64146466.0,595411200.0
20210325,9.28,9.28,9.03,9.15,28323810.0,258251808.0
20210326,9.15,9.4,9.11,9.39,43987510.0,409962688.0
20210329,9.38,9.38,8.76,8.91,66499355.0,598110144.0
20210330,8.86,8.89,8.67,8.86,31091204.0,273008160.0
20210331,8.86,8.89,8.67,8.68,26766128.0,233291744.0
20210401,8.7,8.82,8.7,8.76,17844605.0,156529840.0
20210402,8.99,9.35,8.95,9.16,49529272.0,454578048.0
20210406,9.28,10.08,9.26,10.08,79251887.0,781689408.0
20210407,10.18,10.43,10.03,10.18,129578346.0,1326354304.0
20210408,10.23,10.23,9.6,9.66,84959755.0,828522688.0
20210409,9.58,9.73,9.52,9.63,54852659.0,527898752.0
20210412,9.61,9.7,9.31,9.4,44202789.0,419369824.0
20210413,9.53,9.85,9.43,9.68,54518937.0,525740384.0
20210414,9.64,10.02,9.61,9.91,56603800.0,560071424.0
20210415,9.84,10.12,9.66,9.91,51915510.0,514894944.0
20210416,9.94,10.09,9.82,9.99,41890411.0,417751456.0
20210419,9.99,10.25,9.93,9.94,52241146.0,524454944.0
20210420,9.78,10.93,9.7,10.87,189030700.0,2025371776.0
20210421,10.81,10.92,10.34,10.37,127485180.0,1343682048.0
20210422,10.57,10.62,10.36,10.38,50042308.0,523215264.0
20210423,10.48,10.55,10.24,10.5,53914810.0,560620544.0
20210426,10.45,10.74,10.35,10.44,56669397.0,598908992.0
20210427,10.4,10.59,10.32,10.52,40218857.0,420707776.0
20210428,10.52,10.86,10.52,10.61,40006552.0,426516896.0
20210429,10.58,10.79,10.43,10.69,41076138.0,435735744.0
20210430,10.75,11.05,10.52,10.52,54047546.0,582559936.0
20210506,10.57,10.83,10.36,10.48,46841598.0,494050848.0
20210507,10.5,10.64,10.16,10.16,46533643.0,481672544.0
20210510,10.18,10.22,9.83,9.94,49247104.0,491392352.0
20210511,9.93,9.98,9.72,9.93,29382684.0,290083296.0
20210512,9.84,10.01,9.81,9.98,25394125.0,251897552.0
20210513,9.82,10.02,9.8,9.82,23678631.0,233595536.0
20210514,9.84,9.98,9.74,9.92,27468296.0,271563136.0
20210517,9.9,10.02,9.79,9.85,26836571.0,265756128.0
20210518,10.07,10.15,9.9,9.95,28556316.0,286060704.0
20210519,9.86,10.26,9.7,10.23,47322573.0,472971904.0
20210520,10.1,10.15,9.75,9.79,47564863.0,470137408.0
20210521,9.8,9.9,9.7,9.73,22020552.0,214884368.0
20210524,9.71,9.86,9.49,9.5,34119779.0,327737344.0
20210525,9.55,9.9,9.49,9.8,36471961.0,355843968.0
20210526,9.82,9.83,9.7,9.77,21103438.0,205990576.0
20210527,9.76,9.82,9.69,9.7,20586549.0,200333664.0
20210528,9.73,9.94,9.69,9.83,33838631.0,333245696.0
20210531,9.83,10.38,9.76,10.23,59827103.0,609054976.0
20210601,10.22,10.22,9.95,10.05,37370375.0,376049216.0
20210602,10.0,10.09,9.89,9.92,25331377.0,252740736.0
20210603,9.92,10.16,9.89,10.0,28617605.0,287125376.0
20210604,9.94,10.37,9.84,10.19,54103811.0,552465408.0
20210607,10.38,11.21,10.38,11.21,142862991.0,1595745664.0
20210608,11.7,12.33,11.65,12.19,349749112.0,4268794368.0
20210609,12.19,13.31,12.11,12.84,349325500.0,4484051456.0
20210610,12.85,14.12,12.71,14.12,240043076.0,3321872128.0
20210611,14.5,14.61,13.81,14.13,256380688.0,3652106240.0
20210615,14.9,15.51,14.11,15.31,258901469.0,3845577216.0
20210616,14.66,14.99,13.82,13.97,229679514.0,3302853120.0
20210617,14.52,15.09,14.06,15.02,164177999.0,2412076800.0
